Branch,Pass@1 [95% CI],Pass@5 [95% CI],LCS (mean),CAS-lax,CAS-strict,CodeBLEU (mean),n
single,"0.76 [0.37, 0.72]","0.85 [0.68, 0.94]",1.000,0.854,0.854,0.446,27
ontology,"0.79 [0.48, 0.81]","0.85 [0.68, 0.94]",1.000,0.867,0.867,0.448,27
