problem_id,branch,iterations,validation_passed,wall_total_s,prompt_tokens_total,completion_tokens_total
problem_014,single,1,True,12.222111,5749,1134
problem_014,single,1,True,12.223146,5683,1062
problem_014,single,1,True,10.454032,5683,1059
problem_015,ontology,1,True,1.011762,5901,1417
problem_015,ontology,1,True,0.980101,5903,1474
problem_015,ontology,1,True,0.968382,5823,1365
problem_015,ontology,1,True,0.935046,5878,1453
problem_015,ontology,2,True,13.276739,11258,2252
problem_015,single,1,True,13.680579,5901,1417
problem_015,single,1,True,12.31102,5903,1474
problem_015,single,1,True,12.591575,5823,1365
problem_015,single,1,True,12.939545,5878,1453
problem_015,single,1,True,13.128193,5849,1394
problem_016,ontology,1,True,0.973479,5909,1648
problem_016,ontology,1,True,0.94816,5895,1610
problem_016,ontology,1,True,0.948902,5915,1626
problem_016,ontology,1,True,0.937476,5916,1630
problem_016,ontology,1,True,1.025132,5889,1662
problem_016,single,1,True,18.933554,5909,1648
problem_016,single,1,True,14.059589,5895,1610
problem_016,single,1,True,13.829801,5915,1626
problem_016,single,1,True,13.711594,5916,1630
problem_016,single,1,True,15.345256,5889,1662
problem_017,ontology,1,True,0.952677,6169,1840
problem_017,ontology,1,True,1.025363,6189,1854
problem_017,ontology,1,True,0.989464,6226,1882
problem_017,ontology,1,True,0.996531,6111,1737
problem_017,ontology,1,True,1.052524,6151,1815
problem_017,single,1,True,14.076174,6169,1840
problem_017,single,1,True,15.225068,6189,1854
problem_017,single,1,True,14.779094,6226,1882
problem_017,single,1,True,13.893968,6111,1737
problem_017,single,1,True,14.717097,6151,1815
problem_018,ontology,1,True,1.090172,5800,1238
problem_018,ontology,2,True,13.826426,11081,2043
problem_018,ontology,1,True,0.99291,5830,1284
problem_018,ontology,1,True,0.987049,5857,1292
problem_018,ontology,1,True,0.971556,5822,1277
problem_018,single,1,True,12.672341,5800,1238
problem_018,single,1,True,13.314405,5818,1240
problem_018,single,1,True,13.357284,5830,1284
problem_018,single,1,True,12.685208,5857,1292
problem_018,single,1,True,12.209918,5822,1277
problem_019,ontology,1,True,1.023352,5722,1008
problem_019,ontology,1,True,0.992488,5744,1033
problem_019,ontology,1,True,0.971451,5739,1051
problem_019,ontology,1,True,0.98984,5790,1077
problem_019,ontology,1,True,0.925283,5757,1056
problem_019,single,1,True,10.490284,5722,1008
problem_019,single,1,True,10.742233,5744,1033
problem_019,single,1,True,10.792228,5739,1051
problem_019,single,1,True,11.365587,5790,1077
problem_019,single,1,True,10.909676,5757,1056
problem_020,ontology,4,True,51.755506,22829,5557
problem_020,ontology,1,True,1.033628,6053,1895
problem_020,ontology,2,True,20.209786,11581,3195
problem_020,ontology,1,True,0.982551,6271,2172
problem_020,ontology,1,True,0.973337,6076,1869
problem_020,single,1,True,16.170564,6131,1931
problem_020,single,1,True,15.522029,6053,1895
problem_020,single,1,True,15.948115,6073,1882
problem_020,single,1,True,16.756336,6271,2172
problem_020,single,1,True,16.071596,6076,1869
problem_021,ontology,1,True,0.95516,5689,1263
problem_021,ontology,1,True,1.081784,5687,1249
problem_021,ontology,1,True,0.982055,5688,876
problem_021,ontology,1,True,0.97271,5688,1355
problem_021,ontology,1,True,0.923856,5699,1395
problem_021,single,1,True,14.294455,5689,1263
problem_021,single,1,True,12.97774,5687,1249
problem_021,single,1,True,10.020562,5688,876
problem_021,single,1,True,13.820932,5688,1355
problem_021,single,1,True,13.949478,5699,1395
problem_022,ontology,1,True,0.945701,5552,655
problem_022,ontology,1,True,0.963463,5573,694
problem_022,ontology,1,True,0.891342,5584,681
problem_022,ontology,1,True,0.887974,5570,666
problem_022,ontology,1,True,0.962235,5593,720
problem_022,single,1,True,11.890885,5552,655
problem_022,single,1,True,8.257278,5573,694
problem_022,single,1,True,8.639253,5584,681
problem_022,single,1,True,8.184598,5570,666
problem_022,single,1,True,8.589799,5593,720
problem_023,ontology,1,True,0.989499,6239,2047
problem_023,ontology,4,True,49.067436,23663,5571
problem_023,ontology,2,True,17.62824,11930,3105
